Title,Genre,Premiere,Runtime,IMDB Score,Language
"Ariana Grande: Excuse Me, I Love You",Concert Film,"December 21, 2020",97,6.4,English
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,"November 22, 2017",108,7.5,English
"Bikram: Yogi, Guru, Predator",Documentary,"November 20, 2019",86,6.7,English
"Crack: Cocaine, Corruption & Conspiracy",Documentary,"January 11, 2021",89,6.7,English
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,"July 16, 2019",32,5.9,English
"Game Over, Man!",Action/Comedy,"March 23, 2018",101,5.4,English
"Hello Privilege. It's Me, Chelsea",Documentary,"September 13, 2019",64,4.4,English
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,"November 17, 2017",94,7.7,English
"Lorena, Light-Footed Woman",Documentary,"November 20, 2019",28,7,Spanish
"Love, Guaranteed",Romantic comedy,"September 3, 2020",91,5.6,English
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,"February 7, 2017",54,6.7,English
"Out of Many, One",Documentary,"December 12, 2018",34,5.7,English
"Ram Dass, Going Home",Documentary,"April 6, 2018",31,7.1,English
"Strip Down, Rise Up",Documentary,"February 5, 2021",112,5.2,English
"To Each, Her Own",Romantic comedy,"June 24, 2018",95,5.3,French
"What Happened, Miss Simone?",Documentary,"June 26, 2015",84,7.6,English
#REALITYHIGH,Comedy,"September 8, 2017",99,5.2,English
13th,Documentary,"October 7, 2016",100,8.2,English
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,"January 26, 2017",36,7.1,English
15 August,Comedy-drama,"March 29, 2019",124,5.8,Marathi
1922,Horror/Crime drama,"October 20, 2017",102,6.3,English
22 July,Drama,"October 10, 2018",144,6.8,English
5 Star Christmas,Comedy,"December 7, 2018",95,4.6,Italian
6 Balloons,Drama,"April 6, 2018",75,5.9,English
6 Underground,Action,"December 13, 2019",128,6.1,English
A 3 Minute Hug,Documentary,"October 28, 2019",28,6.5,English/Spanish
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,"October 15, 2020",98,5.4,English
A California Christmas,Romantic comedy,"December 14, 2020",107,5.8,English
A Christmas Prince,Romantic comedy,"November 17, 2017",92,5.8,English
A Christmas Prince: The Royal Baby,Romantic comedy,"December 5, 2019",85,5.4,English
A Christmas Prince: The Royal Wedding,Romantic comedy,"November 30, 2018",92,5.3,English
A Fall from Grace,Thriller,"January 17, 2020",120,5.9,English
A Futile and Stupid Gesture,Biographical/Comedy,"January 26, 2018",101,6.8,English
A Life of Speed: The Juan Manuel Fangio Story,Documentary,"March 20, 2020",92,6.8,Spanish
A Love Song for Latasha,Documentary,"September 21, 2020",19,6.8,English
